service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
8638,0,1,1,1,1,1,0,2017/10/09,2017/10/28
3868,1,1,1,1,1,0,0,2017/10/02,2017/10/27
8642,1,1,1,1,1,1,1,2017/09/04,2017/10/08
8624,1,1,1,1,1,0,0,2017/09/04,2017/10/27
8641,1,1,1,1,1,1,1,2017/11/20,2017/12/02
17432,1,1,1,1,1,0,0,2017/09/11,2017/09/15
17433,1,1,1,1,1,0,0,2017/10/02,2017/10/27
17434,1,1,1,1,1,0,0,2017/11/06,2017/11/24
8662,0,0,0,0,0,1,0,2017/09/09,2017/10/08
8661,1,1,1,1,0,0,0,2017/11/27,2017/11/30
715,0,0,0,0,0,0,1,2017/09/10,2017/09/24
8614,1,1,1,1,1,0,0,2017/09/04,2017/10/29
8643,1,1,1,1,1,1,1,2017/09/03,2017/10/22
8649,1,1,1,1,1,0,0,2017/09/04,2017/12/01
86,0,0,0,0,0,1,0,2017/11/25,2017/12/02
246,0,0,0,0,0,1,1,2017/09/16,2017/09/30
2371,0,0,0,0,0,0,1,2017/10/01,2017/10/15
2367,1,1,1,1,1,1,0,2017/09/12,2017/10/20
2372,1,1,1,1,1,1,0,2017/10/21,2017/10/31
2390,0,0,0,0,0,0,1,2017/09/03,2017/09/10
2365,1,1,1,1,1,0,0,2017/10/23,2017/10/31
1318,1,1,1,1,1,0,0,2017/09/04,2017/09/11
17435,0,0,0,0,0,1,1,2017/09/03,2017/09/10
2375,1,1,1,1,1,1,0,2017/09/04,2017/09/11
2364,1,1,1,1,1,0,0,2017/09/12,2017/10/20
2389,0,0,0,0,0,0,1,2017/09/17,2017/10/29
17436,1,1,1,1,1,0,0,2017/10/23,2017/10/31
2403,0,0,0,0,0,1,1,2017/09/16,2017/10/29
17437,1,1,1,1,1,0,0,2017/10/02,2017/10/20
17438,1,1,1,1,1,0,0,2017/09/12,2017/09/29
2402,0,0,0,0,0,1,1,2017/09/03,2017/09/10
17439,1,1,1,1,1,0,0,2017/09/04,2017/09/11
2370,0,0,0,0,0,0,1,2017/10/22,2017/10/29
476,0,0,0,0,0,1,1,2017/09/03,2017/09/10
2369,0,0,0,0,0,1,0,2017/10/07,2017/10/28
2392,0,0,0,0,0,1,0,2017/09/16,2017/10/14
1135,0,0,0,0,0,1,0,2017/10/21,2017/10/28
17440,0,0,0,0,0,1,1,2017/09/16,2017/10/29
2366,1,1,1,1,1,1,0,2017/10/23,2017/12/02
2393,1,1,1,1,1,0,0,2017/11/06,2017/11/17
2397,0,0,0,0,0,1,1,2017/10/21,2017/11/04
2396,0,0,0,0,0,1,1,2017/09/03,2017/09/10
2388,0,0,0,0,0,0,1,2017/09/17,2017/10/15
17441,0,1,1,1,1,0,0,2017/09/05,2017/09/08
17442,0,1,1,1,1,0,0,2017/10/03,2017/10/20
1055,0,0,0,0,0,1,1,2017/11/05,2017/12/02
17443,0,1,1,1,1,0,0,2017/09/12,2017/09/29
2401,0,0,0,0,0,1,1,2017/09/16,2017/10/15
2381,0,0,0,0,0,0,1,2017/09/03,2017/09/10
2405,0,0,0,0,0,1,1,2017/11/05,2017/11/26
17444,1,0,0,0,0,1,0,2017/09/09,2017/10/30
17445,1,0,0,0,0,0,0,2017/09/04,2017/09/11
762,0,0,0,0,0,0,1,2017/11/05,2017/11/26
2406,0,0,0,0,0,1,1,2017/10/21,2017/11/04
2407,0,0,0,0,0,1,1,2017/09/03,2017/09/10
2377,0,0,0,0,0,0,1,2017/11/05,2017/11/26
2378,0,1,1,1,1,0,0,2017/10/24,2017/10/31
2380,1,1,1,1,1,1,0,2017/11/06,2017/12/02
2379,0,0,0,0,0,0,1,2017/10/22,2017/11/01
2478,1,1,1,1,1,1,0,2017/09/04,2017/12/02
2477,1,1,1,1,1,0,0,2017/09/04,2017/12/01
203,1,1,1,1,1,0,0,2017/09/04,2017/12/01
17446,0,0,0,0,0,1,0,2017/09/16,2017/10/28
2520,1,1,1,1,1,0,0,2017/09/18,2017/10/31
17447,1,1,1,1,1,0,0,2017/09/04,2017/09/14
55,0,0,0,0,0,0,1,2017/09/03,2017/09/10
2519,1,1,1,1,1,0,0,2017/09/04,2017/09/15
2532,1,1,1,1,1,1,1,2017/09/16,2017/10/31
2523,0,0,0,0,0,1,0,2017/09/16,2017/10/28
2524,1,1,1,1,1,0,0,2017/09/04,2017/09/15
2525,1,1,1,1,1,0,0,2017/09/18,2017/10/08
17449,0,1,1,1,0,0,0,2017/09/12,2017/09/14
17450,1,1,1,1,1,0,0,2017/09/15,2017/10/31
17451,1,1,1,1,1,0,0,2017/09/18,2017/10/08
1603,0,1,1,1,1,0,0,2017/09/12,2017/09/15
477,1,1,1,1,1,0,0,2017/09/04,2017/09/11
2521,1,1,1,1,1,0,0,2017/09/12,2017/10/31
2526,1,1,1,1,1,1,0,2017/09/04,2017/09/11
2528,1,1,1,1,1,1,0,2017/09/16,2017/10/31
2529,1,1,1,1,1,1,0,2017/09/12,2017/10/31
17452,1,1,1,1,1,0,0,2017/10/09,2017/10/27
2619,1,1,1,1,1,1,1,2017/09/03,2017/12/02
2620,1,1,1,1,1,1,1,2017/09/03,2017/12/02
2613,0,0,0,0,0,1,1,2017/09/03,2017/12/02
2590,0,0,0,0,0,1,0,2017/09/09,2017/12/02
3244,0,0,0,0,1,0,0,2017/10/06,2017/11/17
3162,0,0,0,0,0,1,0,2017/10/07,2017/11/18
3242,0,0,0,0,1,0,0,2017/10/06,2017/12/01
3193,1,0,0,0,0,0,0,2017/09/11,2017/10/16
3241,0,0,0,0,1,0,0,2017/09/08,2017/09/29
241,0,0,0,0,1,0,0,2017/09/15,2017/09/29
3243,0,0,0,0,0,0,1,2017/10/08,2017/11/19
3215,1,1,1,1,1,1,1,2017/10/02,2017/12/01
3216,1,1,1,1,1,0,1,2017/09/03,2017/10/01
3188,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3154,1,1,1,1,1,0,0,2017/09/04,2017/09/29
3214,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3202,1,1,1,1,1,0,0,2017/09/04,2017/09/29
3189,0,0,0,0,0,1,0,2017/10/07,2017/11/18
3180,1,1,1,1,1,0,0,2017/09/04,2017/09/30
1831,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3182,1,1,1,1,1,1,0,2017/10/02,2017/12/01
3159,1,1,1,1,1,0,0,2017/09/04,2017/09/29
3228,1,1,1,1,1,1,1,2017/10/02,2017/12/01
3230,1,1,1,1,1,0,1,2017/09/03,2017/10/01
2236,1,1,1,1,1,0,0,2017/09/25,2017/09/29
3173,1,1,1,1,1,0,0,2017/09/04,2017/09/22
3223,0,0,0,0,1,0,0,2017/10/06,2017/12/01
3168,0,0,0,0,0,1,1,2017/10/07,2017/11/19
3196,0,1,1,1,1,0,0,2017/09/03,2017/10/01
3160,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3184,1,1,1,1,0,0,0,2017/09/04,2017/09/28
3218,0,0,0,0,0,0,1,2017/10/08,2017/11/19
3237,0,0,0,0,0,0,1,2017/09/03,2017/09/10
3203,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3236,1,1,1,1,0,0,0,2017/10/02,2017/11/30
3194,1,1,1,1,1,1,1,2017/10/30,2017/12/01
3177,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3103,1,1,1,1,0,0,0,2017/09/04,2017/09/28
3221,1,1,1,1,0,0,0,2017/10/02,2017/11/30
3186,0,0,0,0,1,0,0,2017/10/30,2017/12/01
3192,0,0,0,0,0,0,1,2017/10/08,2017/11/19
3179,1,1,1,1,1,1,1,2017/10/02,2017/12/01
3172,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3165,0,0,0,0,0,1,0,2017/10/07,2017/12/02
3185,0,0,0,0,0,1,0,2017/10/07,2017/11/18
3187,1,1,1,1,1,1,0,2017/10/02,2017/12/02
3156,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3226,1,1,1,1,1,0,1,2017/09/03,2017/10/01
3224,1,1,1,1,1,0,1,2017/10/02,2017/12/01
3210,1,1,1,1,1,1,1,2017/10/02,2017/12/01
3208,1,1,1,1,1,1,1,2017/09/03,2017/09/10
3232,1,1,1,1,1,0,1,2017/10/02,2017/12/01
3227,1,1,1,1,1,1,1,2017/10/02,2017/12/01
3235,0,0,0,0,0,0,1,2017/09/03,2017/09/10
3238,0,0,0,0,0,0,1,2017/10/28,2017/11/05
3234,0,0,0,0,0,0,1,2017/10/08,2017/11/19
3222,1,1,1,1,1,1,1,2017/10/02,2017/12/01
3205,1,1,1,1,1,0,0,2017/10/02,2017/12/01
3199,1,1,1,1,1,1,0,2017/10/02,2017/12/01
3200,1,1,1,1,1,0,0,2017/09/04,2017/09/30
3219,0,0,0,0,0,0,1,2017/09/03,2017/10/01
3213,0,0,0,0,1,0,0,2017/09/08,2017/12/01
8,1,1,1,1,1,1,1,2017/09/03,2017/12/02
3303,0,0,0,0,0,1,1,2017/09/30,2017/10/08
3247,1,1,1,1,1,0,0,2017/10/23,2017/12/01
3313,0,0,0,0,0,1,1,2017/10/23,2017/11/19
3317,1,1,1,1,1,0,0,2017/09/11,2017/09/24
3309,1,1,1,1,1,0,0,2017/10/23,2017/12/01
3245,1,1,1,1,1,0,0,2017/09/11,2017/10/20
3319,0,0,0,0,0,1,1,2017/10/09,2017/10/22
378,0,0,0,0,0,1,0,2017/09/16,2017/09/23
3318,1,1,1,1,1,1,1,2017/10/23,2017/12/01
17453,1,1,1,1,1,0,0,2017/10/23,2017/12/01
1636,0,0,0,0,0,1,1,2017/10/14,2017/10/22
17454,1,1,1,1,1,0,0,2017/10/23,2017/12/01
3299,0,0,0,0,0,1,0,2017/09/30,2017/10/07
3296,1,1,1,1,1,0,0,2017/10/30,2017/12/01
355,0,0,0,0,0,1,0,2017/10/14,2017/10/21
3321,0,0,0,0,1,0,0,2017/09/22,2017/10/20
3258,0,0,0,0,1,0,0,2017/10/23,2017/12/01
3257,0,0,0,0,1,0,0,2017/09/15,2017/10/20
3320,1,1,1,1,1,1,1,2017/10/23,2017/12/01
17456,0,0,0,0,1,0,0,2017/10/23,2017/12/01
17457,1,0,0,0,0,0,0,2017/10/23,2017/11/20
3291,0,0,0,0,0,0,1,2017/10/09,2017/10/22
3290,1,1,1,1,1,0,1,2017/10/23,2017/12/01
3293,1,0,0,0,0,0,0,2017/10/02,2017/10/16
1417,0,1,1,1,1,0,0,2017/09/05,2017/09/08
3269,1,1,1,1,1,0,0,2017/10/30,2017/12/01
3284,0,0,0,0,0,1,1,2017/10/23,2017/11/19
3274,0,0,0,0,0,1,1,2017/09/24,2017/10/22
3267,0,1,1,1,1,0,0,2017/09/12,2017/10/20
3280,1,1,1,1,1,0,0,2017/10/23,2017/12/01
17458,1,1,1,1,1,0,0,2017/10/23,2017/12/01
17459,0,0,0,0,0,1,1,2017/10/23,2017/11/19
3253,0,0,0,0,0,1,1,2017/09/30,2017/10/22
3259,1,1,1,1,1,0,0,2017/10/23,2017/12/01
248,1,1,1,1,1,0,0,2017/09/11,2017/09/29
3289,1,1,1,1,1,0,1,2017/10/01,2017/10/20
3264,0,0,0,0,0,1,0,2017/09/30,2017/10/21
17463,1,1,1,1,1,0,0,2017/10/30,2017/12/01
3305,1,1,1,1,1,1,1,2017/10/23,2017/12/01
3301,1,1,1,1,1,1,1,2017/10/30,2017/12/01
3271,0,0,0,0,0,0,1,2017/09/24,2017/10/22
3298,1,1,1,1,1,1,0,2017/10/23,2017/12/01
3311,0,0,0,0,0,1,1,2017/10/23,2017/11/19
3314,1,1,1,1,1,1,1,2017/10/23,2017/12/01
3251,1,1,1,1,1,1,1,2017/09/11,2017/10/22
3270,0,0,0,0,0,0,1,2017/10/23,2017/11/19
3316,0,0,0,0,0,0,1,2017/09/17,2017/10/22
17464,0,0,0,0,0,1,1,2017/10/23,2017/11/19
3262,1,1,1,1,1,1,1,2017/09/11,2017/10/22
17465,1,1,1,1,1,0,0,2017/10/23,2017/12/01
3276,1,1,1,1,1,0,0,2017/09/18,2017/10/20
3254,1,1,1,1,0,1,0,2017/10/23,2017/11/30
3255,1,1,1,1,0,1,0,2017/09/25,2017/10/21
3287,0,0,0,0,0,0,1,2017/10/23,2017/11/19
3250,1,1,1,1,1,1,1,2017/10/30,2017/12/01
3277,1,1,1,1,1,0,0,2017/10/30,2017/12/01
3281,1,1,1,1,1,0,0,2017/09/04,2017/09/15
3261,1,1,1,1,1,1,1,2017/10/23,2017/12/01
1513,1,1,1,1,1,0,0,2017/09/11,2017/09/15
3326,0,0,0,0,0,0,1,2017/09/03,2017/09/10
470,0,0,0,0,0,0,1,2017/09/03,2017/09/10
3323,1,1,1,1,1,0,0,2017/10/30,2017/12/01
3328,0,1,1,1,1,1,0,2017/09/05,2017/12/02
3348,1,1,1,1,1,1,1,2017/09/03,2017/10/14
3347,1,1,1,1,1,1,1,2017/10/15,2017/12/02
3333,0,0,0,0,0,1,0,2017/11/13,2017/12/02
3329,1,1,1,1,1,0,0,2017/10/16,2017/12/01
3338,0,0,0,0,0,0,1,2017/10/30,2017/11/26
17467,1,1,1,1,1,1,1,2017/09/03,2017/10/14
17468,0,0,0,0,0,0,1,2017/11/01,2017/11/26
17469,1,1,1,1,1,0,0,2017/09/04,2017/10/13
17470,0,0,0,0,0,1,0,2017/11/13,2017/12/02
17471,0,0,0,0,1,0,0,2017/09/08,2017/10/13
17472,0,0,0,0,0,0,1,2017/10/01,2017/10/08
3355,0,0,0,0,0,1,1,2017/09/03,2017/10/14
3358,0,0,0,0,0,0,1,2017/10/15,2017/11/26
3364,0,0,0,0,0,1,1,2017/10/15,2017/12/02
17473,0,0,0,0,1,0,0,2017/09/08,2017/10/13
17474,0,0,0,0,0,1,1,2017/09/03,2017/10/14
3352,0,0,0,0,1,0,0,2017/10/20,2017/12/01
