service_id,date,exception_type
2303,20170916,1
2303,20170917,1
2303,20170909,1
2303,20170910,1
2301,20171020,1
2301,20170903,1
2301,20171101,1
2305,20171111,1
2305,20171101,1
2307,20170908,1
2307,20170915,1
2304,20170909,1
2304,20170916,1
2304,20171028,1
2304,20171104,1
682,20171126,1
8667,20171120,1
8667,20171121,1
8667,20171122,1
8667,20171123,1
8667,20171127,1
8667,20171128,1
8667,20171129,1
8667,20171130,1
8668,20171103,1
8668,20171009,1
8668,20171010,1
8668,20171011,1
8668,20171012,1
8668,20171013,1
8668,20171016,1
8668,20171017,1
8668,20171018,1
8668,20171019,1
8668,20171020,1
8668,20171023,1
8668,20171024,1
8668,20171025,1
8668,20171026,1
8668,20171027,1
8668,20171106,1
8668,20171107,1
8668,20171108,1
8668,20171109,1
8668,20171110,1
8668,20171113,1
8668,20171114,1
8668,20171115,1
8668,20171116,1
8668,20171117,1
2317,20170915,1
2317,20170922,1
2317,20170929,1
2317,20171006,1
2317,20170908,1
2317,20171124,1
2320,20171105,1
2319,20171126,1
8677,20171120,1
8677,20171121,1
8677,20171122,1
8677,20171123,1
8677,20171124,1
8677,20171126,1
8677,20171127,1
8677,20171128,1
8677,20171129,1
8677,20171130,1
8677,20171201,1
8666,20171029,2
8672,20171120,1
8672,20171121,1
8672,20171122,1
8672,20171123,1
8672,20171124,1
8672,20171127,1
8672,20171128,1
8672,20171129,1
8672,20171130,1
8672,20171201,1
8671,20171023,1
8671,20171024,1
8671,20171025,1
8671,20171026,1
8671,20171027,1
8671,20171102,1
8671,20171103,1
8671,20171106,1
8671,20171107,1
8671,20171108,1
8671,20171109,1
8671,20171110,1
8671,20171113,1
8671,20171114,1
8671,20171115,1
8671,20171116,1
8671,20171117,1
8671,20171030,2
8671,20171031,2
8671,20171101,2
2314,20171125,1
2314,20171202,1
8646,20171102,1
8646,20171103,1
8646,20171105,1
8646,20171023,1
8646,20171024,1
8646,20171025,1
8646,20171026,1
8646,20171027,1
8646,20171106,1
8646,20171107,1
8646,20171108,1
8646,20171109,1
8646,20171110,1
8646,20171113,1
8646,20171114,1
8646,20171115,1
8646,20171116,1
8646,20171117,1
8646,20171030,2
8646,20171031,2
8646,20171101,2
87,20171126,1
8670,20171016,2
8670,20171010,2
8670,20171030,2
8670,20171031,2
8670,20171101,2
8670,20171107,2
8670,20171111,2
8635,20171107,1
8673,20171014,1
8673,20171015,1
8673,20171021,1
8673,20171022,1
8673,20171028,1
8673,20171001,2
1724,20171027,1
8669,20171002,2
8669,20171003,2
8669,20171004,2
8669,20171005,2
8669,20171006,2
8669,20171009,2
2993,20171016,1
2312,20171030,2
2312,20171031,2
2312,20171101,2
8664,20170925,2
8664,20170926,2
