11186,1,1,1,1,1,1,0,2017/09/04,2018/03/20
10576,1,1,1,1,1,1,0,2017/09/02,2018/03/20
11189,1,1,1,1,1,1,0,2017/12/11,2018/02/25
11187,1,1,1,1,1,1,0,2018/01/08,2018/03/20
11188,0,1,1,1,1,1,1,2017/12/11,2018/02/25
11182,0,0,0,0,0,0,1,2017/09/18,2018/03/18
11181,0,0,0,0,0,0,1,2017/09/10,2018/03/18
11185,0,0,0,0,0,0,1,2017/09/10,2018/03/18
11184,1,0,0,0,0,0,0,2017/09/11,2018/03/19
11183,0,0,0,0,0,0,1,2017/09/18,2018/03/18
10643,0,0,0,0,0,0,1,2017/12/10,2018/03/18
11053,0,0,0,0,0,1,0,2017/09/02,2017/11/05
11286,0,0,0,0,0,1,0,2017/09/02,2017/12/09
11279,0,0,0,0,0,0,1,2017/09/03,2017/12/03
11280,1,0,0,0,0,0,0,2017/09/25,2017/12/04
11284,1,0,0,0,0,0,0,2017/12/11,2018/03/19
11283,0,0,0,0,0,0,1,2017/12/24,2017/12/31
11282,0,0,0,0,0,0,1,2018/01/01,2018/03/18
11285,0,1,1,1,1,1,0,2017/12/26,2017/12/30
11289,0,1,1,1,1,1,0,2017/12/12,2018/03/20
11287,0,0,0,0,0,0,1,2017/12/25,2018/03/18
11288,1,1,1,1,1,1,0,2017/12/11,2018/03/20
11290,0,0,0,0,0,0,1,2017/12/25,2018/03/18
11266,0,0,0,0,0,1,0,2017/12/16,2018/03/17
10596,1,1,1,1,1,0,0,2018/01/01,2018/03/20
11277,0,1,1,1,1,1,0,2017/09/02,2017/12/09
11276,0,1,1,1,1,1,0,2017/09/02,2017/12/09
11265,1,1,1,1,1,0,0,2017/09/04,2017/12/08
11267,1,1,1,1,1,0,1,2018/01/01,2018/03/20
10991,0,1,1,1,1,0,0,2017/12/26,2017/12/29
11270,0,0,0,0,0,1,0,2018/01/01,2018/03/17
10839,1,1,1,1,1,0,0,2017/12/11,2018/03/20
11278,0,0,0,0,0,1,1,2017/12/10,2018/03/18
11273,0,0,0,0,0,0,1,2017/12/10,2018/03/18
11268,1,1,1,1,1,0,1,2017/12/10,2018/03/20
11264,0,0,0,0,0,1,0,2017/09/18,2017/11/05
10597,1,1,1,1,1,0,0,2017/09/04,2017/12/08
11272,0,0,0,0,0,0,1,2017/09/18,2017/12/03
11274,1,1,1,1,1,1,0,2017/12/11,2018/03/20
11241,1,1,1,1,1,0,1,2017/12/10,2018/03/20
10833,0,0,0,0,0,1,0,2017/12/16,2018/03/17
11275,1,1,1,1,1,0,0,2018/01/01,2018/03/20
11271,1,1,1,1,1,0,1,2017/12/10,2018/03/20
11299,1,1,1,1,1,1,1,2017/12/10,2018/03/20
11298,1,1,1,1,1,0,0,2017/12/11,2018/03/20
11297,1,1,1,1,1,1,0,2017/12/11,2018/03/20
11291,1,1,1,1,1,1,0,2018/01/01,2018/03/20
11292,1,1,1,1,1,1,1,2017/12/10,2018/03/20
11296,1,1,1,1,1,1,1,2017/12/10,2018/03/20
11293,1,1,1,1,1,1,0,2017/09/02,2017/12/09
11295,1,1,1,1,1,1,1,2017/12/10,2018/03/20
11294,1,1,1,1,1,1,0,2017/09/02,2017/12/09
11305,0,1,1,1,1,1,0,2017/12/12,2018/03/20
11306,0,1,1,1,1,1,0,2017/12/12,2018/03/20
11300,1,1,1,1,1,0,1,2017/12/10,2018/03/20
11303,1,1,1,1,1,0,1,2017/12/10,2018/03/20
11304,1,1,1,1,1,1,1,2017/12/10,2018/03/20
11302,1,0,0,0,0,0,0,2017/09/25,2017/12/04
10636,1,1,1,1,1,1,0,2017/12/11,2018/03/20
11301,0,1,1,1,1,0,0,2017/09/05,2017/12/08
11235,0,0,0,0,0,0,1,2017/09/03,2017/12/03
11307,0,0,0,0,0,0,1,2017/12/10,2018/03/18
11190,1,1,1,1,1,1,1,2017/09/02,2017/12/09
10611,1,1,1,1,1,1,1,2017/12/10,2018/03/20
11874,1,1,1,1,1,0,0,2018/01/01,2018/03/20
11873,1,1,1,1,1,0,0,2018/01/08,2018/01/28
11876,1,1,1,1,1,0,0,2017/09/05,2017/12/08
11871,1,1,1,1,1,0,0,2017/10/02,2017/12/08
11878,1,1,1,1,1,0,0,2017/09/04,2017/12/08
11877,1,1,1,1,1,0,0,2017/09/04,2017/12/08
11080,1,1,1,1,1,0,0,2017/09/04,2017/09/22
11174,0,1,1,1,1,1,0,2017/09/05,2017/09/23
10880,1,1,1,1,1,0,0,2017/09/04,2017/09/08
11427,1,1,1,1,1,0,0,2017/10/02,2017/10/13
11935,1,0,0,0,0,0,1,2017/12/24,2017/12/31
11934,0,0,0,0,0,1,1,2017/09/03,2017/11/26
11941,0,0,0,0,0,1,1,2017/09/02,2018/03/18
11939,1,1,1,1,1,0,0,2018/02/19,2018/03/20
11942,0,0,0,0,0,1,1,2017/09/02,2018/03/18
11936,0,0,0,0,0,1,1,2017/09/02,2018/03/18
11938,1,1,1,1,1,0,0,2018/01/01,2018/02/04
11937,0,0,0,0,0,1,1,2017/09/02,2018/03/18
11950,0,0,0,0,0,1,0,2018/01/01,2018/03/17
11948,0,0,0,0,0,1,1,2017/12/04,2018/03/18
11951,0,0,0,0,0,1,1,2017/12/04,2018/03/18
11943,1,1,1,1,1,1,1,2017/09/02,2017/12/10
11945,0,0,0,0,0,1,1,2017/09/03,2017/11/26
11944,1,0,0,0,0,0,1,2017/09/02,2018/03/19
11946,1,0,0,0,0,0,1,2017/09/02,2018/03/19
11947,1,1,1,1,1,1,1,2017/11/13,2017/12/10
