965,2017/11/12,1
965,2017/11/19,1
965,2017/11/26,1
965,2017/11/06,1
965,2017/11/07,1
965,2017/11/08,1
965,2017/11/09,1
965,2017/11/10,1
965,2017/11/11,1
965,2017/11/13,1
965,2017/11/14,1
965,2017/11/15,1
965,2017/11/16,1
965,2017/11/17,1
965,2017/11/18,1
965,2017/11/20,1
965,2017/11/21,1
965,2017/11/22,1
965,2017/11/23,1
965,2017/11/24,1
965,2017/11/25,1
965,2017/11/27,1
965,2017/11/28,1
965,2017/11/29,1
965,2017/11/30,1
965,2017/12/01,1
965,2017/12/02,1
965,2017/10/03,2
965,2017/10/31,2
965,2017/11/01,2
218,2017/10/03,2
218,2017/10/31,2
218,2017/11/01,2
970,2017/10/03,1
970,2017/10/31,1
970,2017/11/01,1
964,2017/10/03,2
964,2017/10/31,2
964,2017/11/01,2
968,2017/11/05,1
968,2017/11/12,1
968,2017/11/19,1
968,2017/11/26,1
968,2017/10/28,2
966,2017/11/04,1
966,2017/11/05,1
966,2017/11/11,1
966,2017/11/12,1
966,2017/11/18,1
966,2017/11/19,1
966,2017/11/25,1
966,2017/11/26,1
966,2017/12/02,1
969,2017/10/31,1
969,2017/11/01,1
969,2017/10/03,1
220,2017/10/31,1
220,2017/11/01,1
220,2017/10/03,1
2478,2017/11/01,2
2478,2017/11/11,2
2477,2017/11/01,2
203,2017/11/01,2
2613,2017/11/01,1
2590,2017/11/11,2
1289,2017/09/03,1
3328,2017/11/01,2
3328,2017/11/11,2
165,2017/09/17,1
6380,2017/11/01,2
3357,2017/11/11,1
8739,2017/11/01,2
8739,2017/11/11,2
12811,2017/11/13,1
12811,2017/11/14,1
12811,2017/11/15,1
12811,2017/11/16,1
12811,2017/11/17,1
12811,2017/11/18,1
12811,2017/11/20,1
12811,2017/11/21,1
12811,2017/11/22,1
12811,2017/11/23,1
12811,2017/11/24,1
12811,2017/11/25,1
12811,2017/11/27,1
12811,2017/11/28,1
12811,2017/11/29,1
12811,2017/11/30,1
12811,2017/12/01,1
12811,2017/12/02,1
12811,2017/10/14,1
12811,2017/10/21,1
12811,2017/10/28,1
12811,2017/11/04,1
12811,2017/11/11,1
12811,2017/09/28,2
8956,2017/09/04,1
8956,2017/09/05,1
8956,2017/09/06,1
8956,2017/09/07,1
8956,2017/09/08,1
8956,2017/09/11,1
8956,2017/09/12,1
8956,2017/09/13,1
8956,2017/09/14,1
8956,2017/09/15,1
8956,2017/11/20,1
8956,2017/11/21,1
8956,2017/11/22,1
8956,2017/11/23,1
8956,2017/11/24,1
8956,2017/11/28,1
8956,2017/11/29,1
8956,2017/11/30,1
8956,2017/12/01,1
8956,2017/11/10,1
8956,2017/11/01,1
8956,2017/10/17,2
8956,2017/10/18,2
8956,2017/11/27,2
8955,2017/11/27,1
307,2017/10/28,1
977,2017/10/29,1
17432,2017/11/01,2
8826,2017/11/01,2
8831,2017/10/28,2
8831,2017/11/11,2
2202,2017/10/29,2
8825,2017/11/01,2
8825,2017/11/02,2
3338,2017/11/11,1
3338,2017/11/01,1
3338,2017/10/15,1
3338,2017/10/22,1
8698,2017/11/11,2
8821,2017/11/02,1
8851,2017/11/11,1
8868,2017/10/28,2
8868,2017/10/29,2
8868,2017/11/04,2
8868,2017/11/05,2
8859,2017/10/28,2
8859,2017/10/29,2
8859,2017/11/04,2
8859,2017/11/05,2
8859,2017/10/01,2
489,2017/10/01,1
8875,2017/10/29,2
8875,2017/11/05,2
1831,2017/11/01,2
3905,2017/11/12,1
8905,2017/11/01,1
8905,2017/11/04,1
8905,2017/11/05,1
8905,2017/11/18,1
8905,2017/11/19,1
8905,2017/11/25,1
8905,2017/11/26,1
8905,2017/12/02,1
8908,2017/11/12,2
8849,2017/11/06,1
