Grande-Synthe,N,O,304000,1.0,Grande-Synthe,Nord,51.0026249949, 2.31305342637
Montières,O,N,305000,1.0,Amiens,Somme,49.9096024454, 2.2645892132
Arras,O,O,306000,1.0,Arras,Pas-de-Calais,50.2864957665, 2.78196693428
Dainville,N,N,307000,1.0,Dainville,Pas-de-Calais,50.2744295278, 2.72081338707
Anvin,N,O,308000,1.0,Anvin,Pas-de-Calais,50.4456328753, 2.25891079589
Auchy-lès-Hesdin,N,O,308000,1.0,Le Parcq,Pas-de-Calais,50.3924442203, 2.08969086857
Arques (Pas-de-Calais),O,N,310000,1.0,Arques,Pas-de-Calais,50.7281774471, 2.30245098837
Neufchâtel-Hardelot,N,O,311000,1.0,Neufchâtel-Hardelot,Pas-de-Calais,50.6233543053, 1.6427956365
Dreuil-lès-Amiens,N,O,311000,1.0,Dreuil-lès-Amiens,Somme,49.9153566104, 2.22818602098
Ailly-sur-Somme,N,O,311000,1.0,Ailly-sur-Somme,Somme,49.9284682367, 2.200728632
Pihen,N,O,314000,1.0,Pihen-lès-Guînes,Pas-de-Calais,50.8731558022, 1.78591454529
Calais-Ville,O,O,314000,1.0,Calais,Pas-de-Calais,50.9534158869, 1.85047599158
Viarmes,N,O,315000,1.0,Viarmes,Val-d'Oise,49.1168236842, 2.36871473489
Hermes-Berthecourt,N,O,316000,1.0,Berthecourt,Oise,49.3544013474, 2.24163772271
Vic-sur-Aisne,O,N,317000,1.0,Ressons-le-Long,Aisne,49.3966186336, 3.11580298818
Breuil-le-Sec,N,N,317000,1.0,Breuil-le-Sec,Oise,49.3779510612, 2.45520480405
Estrées-St-Denis,O,O,317000,1.0,Francières,Oise,49.4378825778, 2.64271512749
Darnétal,N,N,321000,1.0,Darnétal,Seine-Maritime,49.4438933242, 1.15222828198
Montérolier-Buchy,N,O,321000,1.0,Montérolier,Seine-Maritime,49.6032885609, 1.3360760595
Bacouël,O,N,321000,1.0,Bacouel-sur-Selle,Somme,49.8316419672, 2.19348424162
