from_stop_id,to_stop_id,transfer_type,min_transfer_time
StopPoint:DUA8775858,StopPoint:DUA8768603,2,252
StopPoint:DUA8775858,StopPoint:DUA8768600,2,252
StopPoint:DUA8738400,StopPoint:DUA8728189,2,351
StopPoint:DUA76:541,StopPoint:DUA76:542,2,252
StopPoint:DUA76:541,StopPoint:DUA8739304,2,336
StopPoint:DUA76:542,StopPoint:DUA76:541,2,252
StopPoint:DUA76:542,StopPoint:DUA8739304,2,336
StopPoint:DUA8739304,StopPoint:DUA76:541,2,336
StopPoint:DUA8739304,StopPoint:DUA76:542,2,336
StopPoint:DUA76:581,StopPoint:DUA76:582,2,252
StopPoint:DUA76:581,StopPoint:DUA8739332,2,336
StopPoint:DUA76:582,StopPoint:DUA76:581,2,252
StopPoint:DUA76:582,StopPoint:DUA8739332,2,336
StopPoint:DUA8739332,StopPoint:DUA76:581,2,336
StopPoint:DUA8739332,StopPoint:DUA76:582,2,336
StopPoint:DUA8778543,StopPoint:DUA8754731,2,252
StopPoint:DUA8754731,StopPoint:DUA8778543,2,252
StopPoint:DUA8768216,StopPoint:DUA76:827,2,336
StopPoint:DUA8768216,StopPoint:DUA76:828,2,336
StopPoint:DUA76:827,StopPoint:DUA8768216,2,336
StopPoint:DUA76:827,StopPoint:DUA76:828,2,252
StopPoint:DUA76:828,StopPoint:DUA8768216,2,336
StopPoint:DUA76:828,StopPoint:DUA76:827,2,252
StopPoint:DUA8711650,StopPoint:DUA76:107,2,336
StopPoint:DUA8711650,StopPoint:DUA76:108,2,336
StopPoint:DUA76:107,StopPoint:DUA8711650,2,336
StopPoint:DUA76:107,StopPoint:DUA76:108,2,252
StopPoint:DUA76:108,StopPoint:DUA8711650,2,336
StopPoint:DUA76:108,StopPoint:DUA76:107,2,252
StopPoint:DUA8768214,StopPoint:DUA76:824,2,336
StopPoint:DUA8768214,StopPoint:DUA76:823,2,336
StopPoint:DUA76:824,StopPoint:DUA8768214,2,336
StopPoint:DUA76:824,StopPoint:DUA76:823,2,252
StopPoint:DUA76:823,StopPoint:DUA8768214,2,336
StopPoint:DUA76:823,StopPoint:DUA76:824,2,252
StopPoint:DUA76:110,StopPoint:DUA76:109,2,252
StopPoint:DUA76:110,StopPoint:DUA8711651,2,336
StopPoint:DUA76:109,StopPoint:DUA76:110,2,252
StopPoint:DUA76:109,StopPoint:DUA8711651,2,336
StopPoint:DUA8711651,StopPoint:DUA76:110,2,336
StopPoint:DUA8711651,StopPoint:DUA76:109,2,336
StopPoint:DUA76:62,StopPoint:DUA76:61,2,252
StopPoint:DUA76:62,StopPoint:DUA8711610,2,336
StopPoint:DUA76:61,StopPoint:DUA76:62,2,252
StopPoint:DUA76:61,StopPoint:DUA8711610,2,336
StopPoint:DUA8711610,StopPoint:DUA76:62,2,336
StopPoint:DUA8711610,StopPoint:DUA76:61,2,336
StopPoint:DUA76:830,StopPoint:DUA76:829,2,252
StopPoint:DUA76:830,StopPoint:DUA8768217,2,336
StopPoint:DUA76:829,StopPoint:DUA76:830,2,252
StopPoint:DUA76:829,StopPoint:DUA8768217,2,336
StopPoint:DUA8768217,StopPoint:DUA76:830,2,336
StopPoint:DUA8768217,StopPoint:DUA76:829,2,336
StopPoint:DUA76:814,StopPoint:DUA76:813,2,252
StopPoint:DUA76:814,StopPoint:DUA8768200,2,336
StopPoint:DUA76:813,StopPoint:DUA76:814,2,252
StopPoint:DUA76:813,StopPoint:DUA8768200,2,336
StopPoint:DUA8768200,StopPoint:DUA76:814,2,336
StopPoint:DUA8768200,StopPoint:DUA76:813,2,336
StopPoint:DUA76:826,StopPoint:DUA76:825,2,252
StopPoint:DUA76:826,StopPoint:DUA8768215,2,336
StopPoint:DUA76:825,StopPoint:DUA76:826,2,252
StopPoint:DUA76:825,StopPoint:DUA8768215,2,336
